point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.910,0.980,0.920,0.000,48.684,50.860,26.210,20.990,0.906,0.888,0.164,0.768,0.792,0.820,0.000,0.847,0.561,5.309
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,comparison,successful,91,"300,301,303,304,306,307,308,309,310,311,312,314,315,316,317,318,319,320,321,322,323,325,326,327,328,329,330,332,333,334,335,336,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,377,378,379,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,48.846,50.132,26.055,20.956,0.908,0.897,0.164,0.773,0.794,0.831,0.000,0.856,0.562,5.350
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,comparison,unsuccessful,9,"302,305,313,324,331,337,356,376,380",0.000,0.778,0.111,0.000,46.571,58.222,27.778,21.333,0.887,0.795,0.163,0.723,0.768,0.708,0.000,0.765,0.551,4.886
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,outcome,gravity_without_vertical,7,"302,305,324,331,337,356,380",0.000,1.000,0.000,0.000,46.571,49.143,20.286,22.571,0.910,0.902,0.166,0.747,0.784,0.806,0.000,0.786,0.557,5.043
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,outcome,partial_tilt,1,313,0.000,0.000,0.000,0.000,not_reached,61.000,22.000,13.000,0.803,0.418,0.162,0.623,0.720,0.305,0.000,0.573,0.521,4.077
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,outcome,success,91,"300,301,303,304,306,307,308,309,310,311,312,314,315,316,317,318,319,320,321,322,323,325,326,327,328,329,330,332,333,334,335,336,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,377,378,379,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,48.846,50.132,26.055,20.956,0.908,0.897,0.164,0.773,0.794,0.831,0.000,0.856,0.562,5.350
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,outcome,vertical_without_gravity,1,376,0.000,0.000,1.000,0.000,not_reached,119.000,86.000,21.000,0.815,0.421,0.145,0.656,0.702,0.421,0.000,0.812,0.539,4.598
vertical_comb_benefit_0p520,vertical_comb_benefit,0.520,false,8,0.270,9,1.000,0.520,6.500,0.055,0.090,1.000,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.920,0.980,0.920,0.000,51.082,56.571,31.550,19.350,0.900,0.882,0.164,0.780,0.799,0.815,0.000,0.833,0.563,5.060
vertical_comb_benefit_0p520,vertical_comb_benefit,0.520,false,8,0.270,9,1.000,0.520,6.500,0.055,0.090,1.000,comparison,successful,92,"300,301,302,303,305,307,308,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,326,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,387,389,390,391,392,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,50.641,56.348,30.565,19.250,0.907,0.892,0.164,0.780,0.801,0.828,0.000,0.847,0.564,5.104
vertical_comb_benefit_0p520,vertical_comb_benefit,0.520,false,8,0.270,9,1.000,0.520,6.500,0.055,0.090,1.000,comparison,unsuccessful,8,"304,306,309,325,327,385,386,388",0.000,0.750,0.000,0.000,57.833,60.000,42.875,20.500,0.823,0.764,0.164,0.775,0.783,0.668,0.000,0.664,0.555,4.556
